"idFluxoDifusivo";"idCampanha";"idSitio";"batimetria";"intervalo";"CH4";"CO2";"dataMedida";"horaMedida"
"65";"810";"8133";"13.399999619";"0 a 0.5";"2.7498600483";"65.050498962";"2004-07-16";\N
"66";"1004";"10071";"21.600000381";"0 a 0.5";"0.5799999833";"111.34999847";"2003-11-25";\N
"67";"1004";"10071";"21.600000381";"0 a -0.5";"11.520000458";"27.170000076";"2003-11-25";\N
"68";"1004";"10074";"16.399999619";"0 a 0.5";"20.549999237";"82.480003357";"2003-11-26";\N
"69";"1004";"10074";"16.399999619";"0 a -0.5";"-0.670000017";"-16.02000046";"2003-11-26";\N
"70";"1004";"10075";"40.099998474";"0 a 0.5";"21.190000534";"170.16000366";"2003-11-26";\N
"71";"1004";"10075";"40.099998474";"0 a -0.5";"3.0999999046";"-6.78000021";"2003-11-26";\N
"72";"1004";"10072";"45";"0 a 0.5";"54.299999237";"137.72999573";"2003-11-25";\N
"73";"1004";"10072";"45";"0 a -0.5";"10.199999809";"19.920000076";"2003-11-25";\N
"74";"1004";"10078";"16.299999237";"0 a 0.5";"-12.22999954";"17.63999939";"2003-11-26";\N
"75";"1004";"10078";"16.299999237";"0 a -0.5";"16.559999466";"13.420000076";"2003-11-26";\N
"76";"1004";"10077";"8.3000001907";"0 a 0.5";"10.539999962";"55.5";"2003-11-26";\N
"77";"1004";"10077";"8.3000001907";"0 a -0.5";"9.4300003052";"19.690000534";"2003-11-26";\N
"78";"1004";"10076";"14.300000191";"0 a 0.5";"12.229999542";"163.08999634";"2003-11-26";\N
"79";"1004";"10076";"14.300000191";"0 a -0.5";"16.920000076";"66.930000305";"2003-11-26";\N
"80";"1004";"10073";"16";"0 a 0.5";"-12.14999962";"110.62999725";"2003-11-25";\N
"81";"1004";"10073";"16";"0 a -0.5";"9.3100004196";"-21.02000046";"2003-11-25";\N
"82";"1007";"10099";"2.5";"0 a 0.5";"0";"70.519996643";"2004-03-24";\N
"83";"1007";"10100";"17.5";"0 a 0.5";"11.494600296";"29.530799866";"2004-03-23";\N
"84";"810";"8137";"51";"0 a 0.5";"-0.682497978";"27.0102005";"2004-07-12";\N
"85";"810";"8138";"14.899999619";"0 a 0.5";"0.2457759976";"38.380599976";"2004-07-14";\N
"86";"810";"8139";"46.5";"0 a 0.5";"0";"14.861100197";"2004-07-16";\N
"87";"1010";"10099";"2";"0 a 0.5";"0";"35.856800079";"2004-07-21";\N
"88";"1007";"10101";"18.700000763";"0 a 0.5";"7.6895799637";"19.963399887";"2004-03-23";\N
"89";"1007";"10102";"50.200000763";"0 a 0.5";"18.400299072";"30.569200516";"2004-03-22";\N
