"idVariaveisFisicasQuimicasDaAgua";"idCampanha";"idSitio";"dataMedida";"horaMedida";"profundidade";"secchi";"batimetria";"F";"Cl";"NNO3";"PPO43";"SSO42";"Li";"Na";"NNH4";"K";"Mg";"Ca";"clorofila";"feofitina";"turbidez";"NT";"PT";"TDC"
"30";"204";"2062";"2007-03-27";"10:53:00";"10.5";\N;"11";\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;"0.9466800094";"32.38710022";"7.6909999847"
"31";"206";"2062";"2007-07-26";"12:52:00";"0";"0.8000000119";"5.5";\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;"0.5978000164";"40.419399261";"6.4609999657"
"32";"206";"2062";"2007-07-26";"12:52:00";"5";\N;"5.5";\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;"0.4269999862";"31.25810051";"6.7039999962"
"33";"202";"2063";"2006-11-21";"10:55:00";"0";"0.200000003";"6.5999999046";\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;"1.1976300478";"75.099998474";"6.3449997902"
"34";"202";"2063";"2006-11-21";"10:55:00";"6";\N;"6.5999999046";\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;"1.6141899824";"53.700000763";"6.3299999237"
"35";"202";"2064";"2006-11-21";"09:18:00";"21.600000381";"0.200000003";"21.600000381";\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N
"36";"202";"2065";"2006-11-21";"10:24:00";"0";"0.200000003";"1.2000000477";\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;"1.1455500126";"40.299999237";"6.8119997978"
"37";"204";"2069";"2007-03-27";"10:10:00";"0";"1.75";"31.5";\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;"1.3148299456";"27.064500809";"8.767999649"
"38";"204";"2069";"2007-03-27";"10:10:00";"30";\N;"31.5";\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;"1.2622400522";"52.483898163";"7.375"
"39";"206";"2069";"2007-07-26";"12:08:00";"0";"0.6999999881";"24";\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;"1.024799943";"150.8710022";"6.1360001564"
