"idCampanha";"idTabela"
"202";"1"
"204";"1"
"206";"1"
"804";"1"
"807";"1"
"810";"1"
"1004";"1"
"1007";"1"
"1010";"1"
"1012";"1"
"1014";"1"
"1016";"1"
"1203";"1"
"1206";"1"
"1209";"1"
"1304";"1"
"1308";"1"
"1311";"1"
"1403";"1"
"1406";"1"
"1409";"1"
"1503";"1"
"1506";"1"
"1509";"1"
"1603";"1"
"1606";"1"
"1609";"1"
"201";"2"
"203";"2"
"205";"2"
"801";"2"
"805";"2"
"808";"2"
"1001";"2"
"1005";"2"
"1008";"2"
"1011";"2"
"1013";"2"
"1015";"2"
"1201";"2"
"1204";"2"
"1207";"2"
"1301";"2"
"1305";"2"
"1309";"2"
"1401";"2"
"1404";"2"
"1407";"2"
"1501";"2"
"1504";"2"
"1507";"2"
"1601";"2"
"1604";"2"
"1607";"2"
"201";"3"
"203";"3"
"205";"3"
"1008";"3"
"1011";"3"
"1013";"3"
"1015";"3"
"1201";"3"
"1204";"3"
"1207";"3"
"1301";"3"
"1305";"3"
"1309";"3"
"1401";"3"
"1404";"3"
"1407";"3"
"1501";"3"
"1504";"3"
"1507";"3"
"1601";"3"
"1604";"3"
"1607";"3"
"202";"4"
"204";"4"
"206";"4"
"804";"4"
"807";"4"
"810";"4"
"1004";"4"
"1007";"4"
"1010";"4"
"1012";"4"
"1014";"4"
"1016";"4"
"1203";"4"
"1206";"4"
"1209";"4"
"1304";"4"
"1308";"4"
"1311";"4"
"1403";"4"
"1406";"4"
"1409";"4"
"1503";"4"
"1506";"4"
"1509";"4"
"1603";"4"
"1606";"4"
"1609";"4"
"202";"5"
"204";"5"
"206";"5"
"804";"5"
"807";"5"
"810";"5"
"1004";"5"
"1007";"5"
"1010";"5"
"1012";"5"
"1014";"5"
"1016";"5"
"1203";"5"
"1206";"5"
"1209";"5"
"1304";"5"
"1308";"5"
"1311";"5"
"1403";"5"
"1406";"5"
"1409";"5"
"1503";"5"
"1506";"5"
"1509";"5"
"1603";"5"
"1606";"5"
"1609";"5"
"201";"6"
"203";"6"
"205";"6"
"801";"6"
"805";"6"
"808";"6"
"1001";"6"
"1005";"6"
"1008";"6"
"1011";"6"
"1013";"6"
"1015";"6"
"1201";"6"
"1204";"6"
"1207";"6"
"1301";"6"
"1305";"6"
"1309";"6"
"1401";"6"
"1404";"6"
"1407";"6"
"1501";"6"
"1504";"6"
"1507";"6"
"1601";"6"
"1604";"6"
"1607";"6"
"202";"7"
"204";"7"
"206";"7"
"804";"7"
"807";"7"
"810";"7"
"1004";"7"
"1007";"7"
"1010";"7"
"1012";"7"
"1014";"7"
"1016";"7"
"1203";"7"
"1206";"7"
"1209";"7"
"1304";"7"
"1308";"7"
"1311";"7"
"1403";"7"
"1406";"7"
"1409";"7"
"1503";"7"
"1506";"7"
"1509";"7"
"1603";"7"
"1606";"7"
"1609";"7"
"201";"8"
"203";"8"
"205";"8"
"801";"8"
"805";"8"
"808";"8"
"1001";"8"
"1005";"8"
"1008";"8"
"1011";"8"
"1013";"8"
"1015";"8"
"1201";"8"
"1204";"8"
"1207";"8"
"1301";"8"
"1305";"8"
"1309";"8"
"1401";"8"
"1404";"8"
"1407";"8"
"1501";"8"
"1504";"8"
"1507";"8"
"1601";"8"
"1604";"8"
"1607";"8"
"201";"9"
"203";"9"
"205";"9"
"1011";"9"
"1013";"9"
"1015";"9"
"1204";"9"
"1207";"9"
"1305";"9"
"1309";"9"
"1401";"9"
"1404";"9"
"1407";"9"
"1501";"9"
"1504";"9"
"1507";"9"
"1601";"9"
"1604";"9"
"1607";"9"
"1303";"10"
"1307";"10"
"202";"11"
"204";"11"
"206";"11"
"804";"11"
"807";"11"
"810";"11"
"1004";"11"
"1007";"11"
"1010";"11"
"1012";"11"
"1014";"11"
"1016";"11"
"1203";"11"
"1206";"11"
"1209";"11"
"1304";"11"
"1308";"11"
"1311";"11"
"1403";"11"
"1406";"11"
"1409";"11"
"1503";"11"
"1506";"11"
"1509";"11"
"1603";"11"
"1606";"11"
"1609";"11"
"803";"12"
"1003";"12"
"1303";"12"
"1307";"12"
"801";"13"
"808";"13"
"1001";"13"
"1005";"13"
"1008";"13"
"1201";"13"
"1301";"13"
"202";"14"
"204";"14"
"206";"14"
"804";"14"
"807";"14"
"810";"14"
"1004";"14"
"1007";"14"
"1010";"14"
"1012";"14"
"1014";"14"
"1016";"14"
"1203";"14"
"1206";"14"
"1209";"14"
"1304";"14"
"1308";"14"
"1311";"14"
"1403";"14"
"1406";"14"
"1409";"14"
"1503";"14"
"1506";"14"
"1509";"14"
"1603";"14"
"1606";"14"
"1609";"14"
"202";"15"
"204";"15"
"206";"15"
"804";"15"
"807";"15"
"810";"15"
"1004";"15"
"1007";"15"
"1010";"15"
"1012";"15"
"1014";"15"
"1016";"15"
"1203";"15"
"1206";"15"
"1209";"15"
"1304";"15"
"1308";"15"
"1311";"15"
"1403";"15"
"1406";"15"
"1409";"15"
"1503";"15"
"1506";"15"
"1509";"15"
"1603";"15"
"1606";"15"
"1609";"15"
"201";"16"
"203";"16"
"205";"16"
"801";"16"
"805";"16"
"808";"16"
"1001";"16"
"1005";"16"
"1008";"16"
"1011";"16"
"1013";"16"
"1015";"16"
"1201";"16"
"1204";"16"
"1207";"16"
"1301";"16"
"1305";"16"
"1309";"16"
"1401";"16"
"1404";"16"
"1407";"16"
"1501";"16"
"1504";"16"
"1507";"16"
"1601";"16"
"1604";"16"
"1607";"16"
"201";"18"
"203";"18"
"205";"18"
"801";"18"
"805";"18"
"808";"18"
"1001";"18"
"1005";"18"
"1008";"18"
"1011";"18"
"1013";"18"
"1201";"18"
"1204";"18"
"1207";"18"
"1301";"18"
"1305";"18"
"1309";"18"
"1401";"18"
"1404";"18"
"1407";"18"
"1501";"18"
"1504";"18"
"1507";"18"
"1601";"18"
"1604";"18"
"1607";"18"
"202";"19"
"204";"19"
"206";"19"
"804";"19"
"807";"19"
"810";"19"
"1004";"19"
"1007";"19"
"1010";"19"
"1012";"19"
"1014";"19"
"1016";"19"
"1203";"19"
"1206";"19"
"1209";"19"
"1304";"19"
"1308";"19"
"1311";"19"
"1403";"19"
"1406";"19"
"1409";"19"
"1503";"19"
"1506";"19"
"1509";"19"
"1603";"19"
"1606";"19"
"1609";"19"
"802";"20"
"806";"20"
"809";"20"
"1002";"20"
"1006";"20"
"1009";"20"
"1202";"20"
"1205";"20"
"1208";"20"
"1302";"20"
"1306";"20"
"1310";"20"
"1402";"20"
"1405";"20"
"1408";"20"
"1502";"20"
"1505";"20"
"1508";"20"
"1602";"20"
"1605";"20"
"1608";"20"
"802";"21"
"806";"21"
"809";"21"
"1002";"21"
"1006";"21"
"1009";"21"
"1202";"21"
"1205";"21"
"1208";"21"
"1302";"21"
"1306";"21"
"1310";"21"
"1402";"21"
"1405";"21"
"1408";"21"
"1502";"21"
"1505";"21"
"1508";"21"
"1602";"21"
"1605";"21"
"1608";"21"
"802";"22"
"806";"22"
"809";"22"
"1002";"22"
"1006";"22"
"1009";"22"
"1202";"22"
"1205";"22"
"1208";"22"
"1302";"22"
"1306";"22"
"1310";"22"
"1402";"22"
"1405";"22"
"1408";"22"
"1502";"22"
"1505";"22"
"1508";"22"
"1602";"22"
"1605";"22"
"1608";"22"
"802";"23"
"806";"23"
"809";"23"
"1006";"23"
"1009";"23"
"1202";"23"
"1205";"23"
"1208";"23"
"1302";"23"
"1306";"23"
"1310";"23"
"1402";"23"
"1405";"23"
"1408";"23"
"1502";"23"
"1505";"23"
"1508";"23"
"1602";"23"
"1605";"23"
"1608";"23"
"802";"24"
"806";"24"
"809";"24"
"1002";"24"
"1006";"24"
"1009";"24"
"1202";"24"
"1205";"24"
"1208";"24"
"1302";"24"
"1306";"24"
"1310";"24"
"1402";"24"
"1405";"24"
"1408";"24"
"1502";"24"
"1505";"24"
"1508";"24"
