"idAguaMateriaOrganicaSedimento";"idCampanha";"idSitio";"dataMedida";"horaMedida";"profundidade";"batimetria";"agua";"materiaOrganica"
"54";"204";"2057";"2007-03-28";"09:07:00";"1.5";"46";"87.831497192";"16.974300384521"
"55";"204";"2057";"2007-03-28";"09:07:00";"2.5";"46";"83.84690094";"16.554800033569"
"56";"204";"2057";"2007-03-28";"09:07:00";"3.5";"46";"81.682296753";"16.565999984741"
"57";"206";"2057";"2007-07-24";"10:22:00";"0.5";"41.5";"87.606796265";"18.115200042725"
"58";"206";"2057";"2007-07-24";"10:22:00";"1.5";"41.5";"83.196296692";"17.532499313354"
"59";"206";"2057";"2007-07-24";"10:22:00";"2.5";"41.5";"83.000297546";"17.85059928894"
"60";"206";"2057";"2007-07-24";"10:22:00";"3.5";"41.5";"83.579101562";"17.798700332642"
"61";"202";"2058";"2006-11-20";"16:54:00";"0.5";"26";"76.395103455";"14.064800262451"
"62";"202";"2058";"2006-11-20";"16:54:00";"1.5";"26";"70.070297241";"14.163299560547"
"63";"202";"2058";"2006-11-20";"16:54:00";"2.5";"26";"70.187202454";"14.227299690247"
"64";"202";"2058";"2006-11-20";"16:54:00";"3.5";"26";"65.506599426";"14.596199989319"
"65";"204";"2058";"2007-03-28";"09:28:00";"0.5";"39";"65.273803711";"12.246999740601"
"66";"204";"2058";"2007-03-28";"09:28:00";"1.5";"39";"61.69380188";"12.921899795532"
"67";"204";"2058";"2007-03-28";"09:28:00";"2.5";"39";"59.916301727";"13.423999786377"
"68";"204";"2058";"2007-03-28";"09:28:00";"3.5";"39";"58.831501007";"14.485300064087"
"69";"206";"2058";"2007-07-24";"10:04:00";"0.5";"35";"80.49659729";"16.212799072266"
"70";"206";"2058";"2007-07-24";"10:04:00";"1.5";"35";"76.314796448";"16.55419921875"
"71";"206";"2058";"2007-07-24";"10:04:00";"2.5";"35";"74.480499268";"16.506500244141"
"72";"206";"2058";"2007-07-24";"10:04:00";"3.5";"35";"72.817901611";"16.454200744629"
"73";"202";"2059";"2006-11-20";"15:04:00";"0.5";"7.3000001907";"30.03319931";"2.4657700061798"
"74";"202";"2059";"2006-11-20";"15:04:00";"1.5";"7.3000001907";"27.181699753";"3.9327499866486"
"75";"202";"2059";"2006-11-20";"15:04:00";"2.5";"7.3000001907";"26.319900513";"6.416289806366"
"76";"202";"2059";"2006-11-20";"15:04:00";"3.5";"7.3000001907";"24.721300125";"6.2472400665283"
"77";"204";"2059";"2007-03-28";"09:47:00";"0.5";"9.5";"41.216201782";"5.5873198509216"
"78";"204";"2059";"2007-03-28";"09:47:00";"1.5";"9.5";"26.935199738";"6.2708301544189"
"79";"204";"2059";"2007-03-28";"09:47:00";"2.5";"9.5";"23.572200775";"6.4504399299622"
"80";"204";"2059";"2007-03-28";"09:47:00";"3.5";"9.5";"23.616699219";"6.3005800247192"
"81";"206";"2059";"2007-07-24";"09:35:00";"0.5";"2.0999999046";"77.230903625";"12.661399841309"
"82";"206";"2059";"2007-07-24";"09:35:00";"1.5";"2.0999999046";"69.386001587";"11.838800430298"
"83";"206";"2059";"2007-07-24";"09:35:00";"2.5";"2.0999999046";"65.645896912";"10.763299942017"
"84";"206";"2059";"2007-07-24";"09:35:00";"3.5";"2.0999999046";"59.800201416";"9.736590385437"
"85";"202";"2060";"2006-11-22";"10:34:00";"0.5";"27.399999619";"89.124702454";"18.277799606323"
"86";"202";"2060";"2006-11-22";"10:34:00";"1.5";"27.399999619";"87.058601379";"17.790700912476"
"87";"202";"2060";"2006-11-22";"10:34:00";"2.5";"27.399999619";"84.884300232";"17.199800491333"
"88";"202";"2060";"2006-11-22";"10:34:00";"3.5";"27.399999619";"84.288597107";"17.789699554443"
"89";"204";"2060";"2007-03-28";"10:44:00";"0.5";"34";"87.967597961";"17.844800949097"
"90";"204";"2060";"2007-03-28";"10:44:00";"1.5";"34";"83.253799438";"17.176900863647"
"91";"204";"2060";"2007-03-28";"10:44:00";"2.5";"34";"75.515701294";"16.549600601196"
"92";"204";"2060";"2007-03-28";"10:44:00";"3.5";"34";"78.867103577";"16.719499588013"
"93";"206";"2060";"2007-07-25";"11:30:00";"0.5";"30";"88.865600586";"18.732799530029"
"94";"206";"2060";"2007-07-25";"11:30:00";"1.5";"30";"87.006103516";"18.725099563599"
"95";"206";"2060";"2007-07-25";"11:30:00";"2.5";"30";"83.08820343";"18.52560043335"
"96";"206";"2060";"2007-07-25";"11:30:00";"3.5";"30";"79.085601807";"17.684600830078"
"97";"202";"2061";"2006-11-22";"10:00:00";"0.5";"0.6000000238";"79.388198853";"17.53450012207"
"98";"202";"2061";"2006-11-22";"10:00:00";"1.5";"0.6000000238";"76.301101685";"16.648199081421"
"99";"202";"2061";"2006-11-22";"10:00:00";"2.5";"0.6000000238";"74.579803467";"17.288999557495"
"100";"202";"2061";"2006-11-22";"10:00:00";"3.5";"0.6000000238";"73.951301575";"16.011199951172"
"101";"204";"2061";"2007-03-28";"10:21:00";"0.5";"7.3000001907";"70.953201294";"14.46129989624"
"102";"204";"2061";"2007-03-28";"10:21:00";"1.5";"7.3000001907";"70.385902405";"15.769200325012"
"103";"204";"2061";"2007-03-28";"10:21:00";"2.5";"7.3000001907";"67.852996826";"14.005000114441"
"104";"204";"2061";"2007-03-28";"10:21:00";"3.5";"7.3000001907";"59.527500153";"12.608799934387"
"105";"206";"2061";"2007-07-25";"11:00:00";"0.5";"2.2000000477";"68.787002563";"14.239399909973"
"106";"206";"2061";"2007-07-25";"11:00:00";"1.5";"2.2000000477";"66.249298096";"13.882399559021"
"107";"206";"2061";"2007-07-25";"11:00:00";"2.5";"2.2000000477";"62.720500946";"14.386699676514"
"108";"206";"2061";"2007-07-25";"11:00:00";"3.5";"2.2000000477";"63.15430069";"14.16489982605"
"109";"202";"2062";"2006-11-21";"11:44:00";"0.5";"3.4000000954";"75.388900757";"15.671899795532"
"110";"202";"2062";"2006-11-21";"11:44:00";"1.5";"3.4000000954";"74.505096436";"16.013999938965"
"111";"202";"2062";"2006-11-21";"11:44:00";"2.5";"3.4000000954";"73.65070343";"15.752799987793"
"112";"202";"2062";"2006-11-21";"11:44:00";"3.5";"3.4000000954";"72.156997681";"15.169199943542"
"113";"204";"2062";"2007-03-27";"10:53:00";"0.5";"11";"79.974098206";"14.043800354004"
"114";"204";"2062";"2007-03-27";"10:53:00";"1.5";"11";"72.582603455";"14.349900245667"
"115";"204";"2062";"2007-03-27";"10:53:00";"2.5";"11";"70.7940979";"14.281000137329"
"116";"204";"2062";"2007-03-27";"10:53:00";"3.5";"11";"68.675003052";"14.383600234985"
