"idConcentracaoGasAgua";"idCampanha";"idSitio";"dataMedida";"horaMedida";"batimetria";"altura";"replica";"CH4";"CO2"
"59";"204";"2056";"2007-03-28";"08:50:00";"56";"0.5";\N;"0.0933952034";"0.2481369972"
"60";"204";"2057";"2007-03-28";"09:07:00";"46";"10";\N;"0.0930467024";"0.2447720021"
"61";"204";"2057";"2007-03-28";"09:07:00";"46";"5";\N;"0.1167860031";"0.2871910036"
"62";"204";"2057";"2007-03-28";"09:07:00";"46";"0.5";\N;"0.1437709928";"0.313966006"
"63";"204";"2058";"2007-03-28";"09:28:00";"39";"10";\N;"0.0031683501";"0.1330599934"
"64";"204";"2058";"2007-03-28";"09:28:00";"39";"5";\N;"0.00134321";"0.1576250046"
"65";"204";"2058";"2007-03-28";"09:28:00";"39";"0.5";\N;"0.0026700101";"0.1496369988"
"66";"204";"2059";"2007-03-28";"09:47:00";"9.5";"10";\N;"9.58574e-4";"0.2069659978"
"67";"204";"2059";"2007-03-28";"09:47:00";"9.5";"5";\N;"8.9670898e-4";"0.1872099936"
"68";"204";"2059";"2007-03-28";"09:47:00";"9.5";"0.5";\N;"0.00110198";"0.203786999"
"69";"204";"2060";"2007-03-28";"10:44:00";"34";"10";\N;"0.0409022011";"0.1928530037"
"70";"204";"2060";"2007-03-28";"10:44:00";"34";"5";\N;"0.0431821011";"0.2178139985"
"71";"204";"2060";"2007-03-28";"10:44:00";"34";"0.5";\N;"0.0716310963";"0.2712709904"
"72";"204";"2061";"2007-03-28";"10:21:00";"7.3000001907";"10";\N;"0.0034527399";"0.1752139926"
"73";"204";"2061";"2007-03-28";"10:21:00";"7.3000001907";"5";\N;"0.00331076";"0.189052999"
"74";"204";"2061";"2007-03-28";"10:21:00";"7.3000001907";"0.5";\N;"0.00330397";"0.1780039966"
"75";"204";"2062";"2007-03-27";"10:53:00";"11";"10";\N;"0.00147568";"0.1810079962"
"76";"204";"2062";"2007-03-27";"10:53:00";"11";"5";\N;"0.0022668999";"0.1734189987"
"77";"204";"2062";"2007-03-27";"10:53:00";"11";"0.5";\N;"0.00186881";"0.1867749989"
"78";"204";"2069";"2007-03-27";"10:10:00";"31.5";"10";\N;"0.0576957986";"0.1881999969"
"79";"204";"2069";"2007-03-27";"10:10:00";"31.5";"5";\N;"0.0614896007";"0.2068240047"
"80";"204";"2069";"2007-03-27";"10:10:00";"31.5";"0.5";\N;"0.0691832975";"0.1971759945"
"81";"204";"2070";"2007-03-27";"09:38:00";"7";"10";\N;"0.0160259996";"0.1647579968"
"82";"204";"2070";"2007-03-27";"09:38:00";"7";"5";\N;"0.0161672998";"0.1878560036"
"83";"204";"2070";"2007-03-27";"09:38:00";"7";"0.5";\N;"0.0327323005";"0.2153590024"
"84";"204";"2071";"2007-03-27";"08:58:00";"2.0999999046";"10";\N;"0.0201418009";"0.1590110064"
"85";"204";"2071";"2007-03-27";"08:58:00";"2.0999999046";"5";\N;"0.0164301004";"0.164192006"
