"idBolhas";"idCampanha";"idSitio";"profundidade";"nroDeFunis";"volumeColetado";"CO2";"O2";"N2";"CH4";"N2O";"dataMedida";"horaMedida"
"51";"801";"8016";"5";"3";"160";"1.2799999714";"14.760000229";"87.769996643";"44.509998322";\N;\N;\N
"52";"801";"8016";"10";"2";"240";"2.7699999809";"28.159999847";"164.53999329";"123.04000092";\N;\N;\N
"53";"801";"8016";"20";"2";"240";"2.1700000763";"33.490001678";"142.11000061";"152.38000488";\N;\N;\N
"54";"801";"8017";"5";"2";"550";"11.130000114";"50.209999084";"236.67999268";"359.11999512";\N;\N;\N
"55";"801";"8017";"10";"2";"160";"1.3099999428";"21.159999847";"100.41000366";"85.839996338";\N;\N;\N
"56";"801";"8017";"20";"2";"160";"1.3600000143";"26.559999466";"105.62999725";"80.980003357";\N;\N;\N
"57";"805";"8017";"5";"3";"400";"1.4099999666";"28.200000763";"147.8999939";"154.1000061";"0.2800000012";\N;\N
"58";"805";"8017";"11";"3";"16";"0.0399999991";"2.5299999714";"13.300000191";"1.4199999571";\N;\N;\N
"59";"805";"8017";"20";"3";"0";"0";"0";"0";"0";"0";\N;\N
"60";"801";"8018";"10";"3";"630";"1.5099999905";"147.1000061";"473.76000977";"41.86000061";\N;\N;\N
"61";"805";"8018";"5";"3";"110";"0.6700000167";"17.329999924";"88.599998474";"21";"0.0099999998";\N;\N
"62";"805";"8018";"10";"3";"13";"0.0299999993";"3.4500000477";"12.800000191";"0.2399999946";\N;\N;\N
"63";"805";"8018";"20";"2";"0";"0";"0";"0";"0";"0";\N;\N
"64";"805";"8019";"5";"3";"16";"0.1400000006";"1.5800000429";"16.899999619";"0.7799999714";\N;\N;\N
"65";"805";"8019";"10";"3";"5";"0.0299999993";"0.8299999833";"5.2899999619";"0.0299999993";\N;\N;\N
"66";"805";"8019";"20";"2";"0";"0";"0";"0";"0";"0";\N;\N
"67";"805";"8020";"5";"3";"0";"0";"0";"0";"0";"0";\N;\N
"68";"805";"8020";"10";"3";"50";"0.1700000018";"8.9799995422";"41.400001526";"3.8499999046";"0.0599999987";\N;\N
"69";"805";"8020";"20";"3";"18";"0.0700000003";"4.2300000191";"15.199999809";"0.4499999881";\N;\N;\N
"70";"805";"8021";"5";"3";"17";"0.0500000007";"3.1600000858";"14.5";"1.8400000334";\N;\N;\N
"71";"805";"8021";"10";"3";"0";"0";"0";"0";"0";"0";\N;\N
"72";"805";"8021";"20";"2";"140";"0.9800000191";"60.900001526";"187.69999695";"0.5799999833";"0.2399999946";\N;\N
"73";"805";"8022";"5";"3";"10";"0.0399999991";"2.5299999714";"9.1300001144";"0.1700000018";\N;\N;\N
"74";"805";"8022";"10";"3";"10";"0.0399999991";"2.7400000095";"9.2600002289";"0.1700000018";\N;\N;\N
"75";"805";"8022";"20";"3";"9";"0.0299999993";"2.5999999046";"7.7899999619";"0.3600000143";\N;\N;\N
"76";"805";"8023";"5";"3";"46";"0.4600000083";"4.0100002289";"38.099998474";"11.399999619";\N;\N;\N
"77";"805";"8023";"10";"3";"17";"0.1000000015";"1.0099999905";"10.399999619";"6.3099999428";\N;\N;\N
"78";"805";"8023";"20";"2";"0";"0";"0";"0";"0";"0";\N;\N
"79";"805";"8024";"5";"3";"50";"0.6600000262";"11.5";"55";"0.6299999952";\N;\N;\N
"80";"805";"8024";"10";"3";"0";"0";"0";"0";"0";"0";\N;\N
"81";"805";"8024";"20";"2";"41";"0.6399999857";"16.200000763";"63.200000763";"4.5999999046";\N;\N;\N
"82";"808";"8025";"5";"3";"10";"0.0099999998";"2.2000000477";"9.1999998093";"1.6000000238";\N;"2004-07-13";"13:05:00"
"83";"808";"8025";"10";"3";"60";"0.0500000007";"7.0999999046";"50.700000763";"12.600000381";"0.5500000119";"2004-07-13";"13:26:00"
"84";"808";"8025";"20";"2";"0";"0";"0";"0";"0";"0";"2004-07-13";"13:28:00"
"85";"808";"8026";"5";"3";"450";"2.0799999237";"33";"193.5";"149";"0.5099999905";"2004-07-16";"15:32:00"
"86";"808";"8026";"10";"2";"30";"0.1599999964";"5.9000000954";"30.399999619";"7";\N;"2004-07-16";"15:38:00"
"87";"808";"8026";"20";"2";"0";"0";"0";"0";"0";"0";"2004-07-16";"15:45:00"
"88";"808";"8027";"5";"3";"60";"0.2800000012";"5.8000001907";"36.299999237";"9.8999996185";"0.5799999833";"2004-07-14";"16:03:00"
"89";"808";"8027";"10";"2";"500";"2.4300000668";"184.80000305";"561.40002441";"2.5";"5.9899997711";"2004-07-14";"15:56:00"
"90";"808";"8027";"20";"2";"315";"1.2400000095";"113.69999695";"364";"0.5";"4.1100001335";"2004-07-14";"15:52:00"
"91";"808";"8028";"5";"3";"160";"0.3300000131";"14.600000381";"66.300003052";"2.1900000572";"70.699996948";"2004-07-13";"13:50:00"
"92";"808";"8028";"10";"3";"60";"0.0799999982";"10.699999809";"59.799999237";"24.799999237";\N;"2004-07-13";"13:43:00"
"93";"808";"8028";"20";"2";"40";"0.0500000007";"17.700000763";"60.700000763";"2.2000000477";\N;"2004-07-13";"13:57:00"
"94";"808";"8029";"5";"3";"110";"0.5699999928";"10.199999809";"56.599998474";"26.299999237";"0.9200000167";"2004-07-14";"16:30:00"
"95";"808";"8029";"10";"2";"50";"0.3000000119";"8.3999996185";"33.799999237";"17.899999619";\N;"2004-07-14";"16:24:00"
"96";"808";"8029";"20";"2";"0";"0";"0";"0";"0";"0";"2004-07-14";"16:18:00"
"97";"808";"8030";"5";"3";"190";"0.5099999905";"28.600000381";"104.90000153";"42.200000763";"0.2300000042";"2004-07-16";"15:52:00"
"98";"808";"8030";"10";"2";"360";"0.9900000095";"55.5";"251.80000305";"158.6000061";"0.5299999714";"2004-07-16";"15:59:00"
"99";"808";"8030";"20";"2";"5";"0.0099999998";"1.5";"4.6999998093";"0.8999999762";\N;"2004-07-16";"16:08:00"
"100";"1005";"10001";"5";"4";"305";"0.7300000191";"12.899999619";"51.200000763";"88.5";"0.0299999993";\N;\N
"101";"1005";"10001";"10";"3";"370";"1.1299999952";"25";"77.699996948";"0.0799999982";"131.69999695";\N;\N
"102";"1005";"10001";"20";"3";"22";"0.0599999987";"2.5699999332";"10.699999809";"3.0399999619";\N;\N;\N
"103";"1001";"10002";"5";"3";"470";"3.1600000858";"73.690002441";"339.23999023";"68.099998474";"3954";"2003-11-27";"08:20:00"
"104";"1001";"10002";"10";"3";"290";"3.1600000858";"15.319999695";"103.20999908";"116.08000183";"2269";"2003-11-27";"08:10:00"
"105";"1001";"10002";"20";"2";"30";"0.1099999994";"4.6900000572";"15.800000191";"15.81000042";\N;"2003-11-27";"08:38:00"
"106";"1001";"10003";"5";"3";"620";"6.2199997902";"30.020000458";"192.8500061";"243.36000061";"6231";"2003-11-26";"08:50:00"
"107";"1001";"10003";"19";"2";"8";"0.0500000007";"1.6699999571";"7.3699998856";"1.8500000238";\N;"2003-11-26";"09:00:00"
"108";"1008";"10007";"5";"4";"100";"0.3400000036";"6.5";"34.900001526";"24.700000763";"0.0799999982";"2004-07-20";"16:50:00"
"109";"1008";"10007";"10";"3";"170";"0.6499999762";"33.799999237";"119";"21.600000381";"0.1899999976";"2004-07-20";"17:01:00"
"110";"1008";"10007";"20";"3";"15";"0.0399999991";"2";"9.3000001907";"2.7000000477";\N;"2004-07-20";"17:10:00"
"111";"1008";"10008";"5";"3";"36";"0.2800000012";"5.5";"26";"16.5";\N;"2004-07-21";"14:44:00"
"112";"1008";"10008";"10";"2";"40";"0.3000000119";"6.1999998093";"25.899999619";"18.899999619";\N;"2004-07-21";"15:07:00"
"113";"1008";"10008";"21";"2";"45";"0.0199999996";"1.2000000477";"4.5999999046";"0.6999999881";\N;"2004-07-21";"15:11:00"
"114";"1001";"10009";"6";"3";"220";"0.5199999809";"21.790000916";"72.690002441";"78.809997559";"1940";"2003-11-26";"09:55:00"
"115";"1001";"10009";"10";"3";"330";"0.4699999988";"31.069999695";"98.739997864";"119.05000305";"3068";"2003-11-26";"10:08:00"
"116";"1001";"10009";"21";"2";"70";"0.1800000072";"15.369999886";"53.150001526";"21.729999542";"764.63000488";"2003-11-26";"10:15:00"
"117";"1001";"10010";"6";"3";"400";"0.7599999905";"63.009998322";"221.61000061";"86.830001831";"2886";"2003-11-27";"09:20:00"
"118";"1001";"10010";"11";"2";"220";"0.5";"32.700000763";"113.69000244";"122.73000336";"2671";"2003-11-27";"09:07:00"
"119";"1001";"10010";"20";"2";"60";"0.3700000048";"12.300000191";"46.799999237";"17.969999313";"598";"2003-11-27";"09:30:00"
"120";"1005";"10010";"5";"4";"210";"0.9100000262";"13.399999619";"66.199996948";"53.599998474";"0.1400000006";\N;\N
"121";"1005";"10010";"10";"3";"88";"0.0900000036";"14.300000191";"45.200000763";"20.100000381";"0.0199999996";\N;\N
"122";"1005";"10010";"20";"3";"33";"0.150000006";"5.0399999619";"20.200000763";"5.1900000572";\N;\N;\N
"123";"1005";"10011";"5";"4";"194";"0.4600000083";"9.1199998856";"41.200000763";"43";"0.0700000003";\N;\N
"124";"1005";"10011";"10";"3";"460";"1.8899999857";"22.600000381";"80.699996948";"172.30000305";"0.0500000007";\N;\N
"125";"1005";"10011";"20";"3";"63";"0.3700000048";"2.9700000286";"24.700000763";"14.699999809";\N;\N;\N
"126";"1005";"10012";"4";"4";"100";"0.1099999994";"15.399999619";"49.599998474";"12.399999619";\N;\N;\N
"127";"1005";"10012";"11";"4";"160";"0.4300000072";"14.800000191";"56.799999237";"40.700000763";"0.0799999982";\N;\N
"128";"1005";"10012";"20";"4";"41";"0.1800000072";"6.0700001717";"23.200000763";"3.7999999523";\N;\N;\N
"129";"1005";"10013";"5";"5";"1120";"8.3299999237";"29.100000381";"183";"299.6000061";"0.1199999973";\N;\N
"130";"1005";"10013";"10";"4";"350";"1.6200000048";"14.899999619";"74.300003052";"110.09999847";"0.1199999973";\N;\N
"131";"1005";"10013";"20";"4";"790";"2.9700000286";"42.5";"163.8999939";"0.0700000003";"268";\N;\N
"132";"1008";"10014";"5";"3";"60";"0.2700000107";"5.6999998093";"30.200000763";"20.399999619";\N;"2004-07-22";"13:08:00"
"133";"1008";"10014";"10";"2";"120";"0.8500000238";"14";"55.599998474";"83.5";"0.1800000072";"2004-07-22";"13:03:00"
"134";"1008";"10014";"20";"2";"34";"0.1899999976";"6.5";"27.399999619";"14.100000381";\N;"2004-07-22";"12:59:00"
"135";"1008";"10015";"3";"3";"440";"2.0499999523";"15.699999809";"79.5";"214.19999695";"0.2899999917";"2004-07-20";"16:05:00"
"136";"1008";"10015";"6.5";"2";"150";"0.5899999738";"11.600000381";"58.700000763";"98.699996948";"0.1700000018";"2004-07-20";"15:44:00"
"137";"1008";"10016";"3.5";"3";"55";"0.3799999952";"5.1999998093";"33.599998474";"22.100000381";\N;"2004-07-23";"08:47:00"
"138";"1008";"10016";"9";"2";"26";"0.25";"5.1999998093";"26.799999237";"12";\N;"2004-07-23";"08:44:00"
"139";"1008";"10016";"20";"2";"18";"0.1400000006";"4.0999999046";"22.5";"6.6999998093";\N;"2004-07-23";"08:38:00"
"140";"1008";"10017";"5";"3";"140";"0.7400000095";"12.199999809";"51.200000763";"56";"0.1800000072";"2004-07-21";"14:18:00"
"141";"1008";"10017";"10";"2";"20";"0.1400000006";"4.5";"19.5";"6.5";\N;"2004-07-21";"14:28:00"
"142";"1008";"10017";"18.5";"2";"10";"0.0500000007";"2.5";"10.100000381";"2.2999999523";\N;"2004-07-21";"14:34:00"
"143";"1008";"10018";"5";"3";"39";"0.1700000018";"5.8000001907";"28.899999619";"6.8000001907";\N;"2004-07-22";"13:25:00"
"144";"1008";"10018";"10";"2";"0";"0";"0";"0";"0";"0";"2004-07-22";"13:20:00"
"145";"1008";"10018";"20";"2";"43";"0.1599999964";"8.6999998093";"31.700000763";"21";\N;"2004-07-22";"13:15:00"
"146";"1008";"10019";"5";"3";"100";"0.6600000262";"8.1000003815";"48.599998474";"45.599998474";"0.0599999987";"2004-07-23";"09:08:00"
"147";"1008";"10019";"10";"2";"95";"0.8399999738";"12.199999809";"54.099998474";"75.5";"0.1700000018";"2004-07-24";"09:04:00"
"148";"1008";"10019";"20";"2";"18";"0.1299999952";"4.3000001907";"22.5";"6.5";\N;"2004-07-25";"08:56:00"
"149";"1011";"10126";"6";"6";"300";"0.1700000018";"15.399999619";"41.950000763";"51.689998627";"0.0900000036";"2006-11-28";"10:35:00"
"150";"1011";"10126";"15";"6";"100";"0.0199999996";"8.5900001526";"23.260000229";"11.31000042";"0.0299999993";"2006-11-28";"10:40:00"
"151";"1011";"10126";"28";"4";"55";"0.0199999996";"6.7399997711";"18.920000076";"8.6400003433";"0.0299999993";"2006-11-28";"10:46:00"
"152";"1013";"10126";"6";"6";"110";"0.0729999989";"9.1899995804";"26.350000381";"83.040000916";\N;"2007-03-20";"12:40:00"
"153";"1013";"10126";"11";"6";"180";"0.0659999996";"12.68999958";"36.790000916";"20.659999847";\N;"2007-03-20";"12:50:00"
"154";"1013";"10126";"19";"4";"41";"0.0270000007";"6.5399999619";"22.620000839";"0.150000006";\N;"2007-03-20";"13:00:00"
"155";"1011";"10127";"6";"6";"305";"0.1299999952";"15.619999886";"45.590000153";"45.310001373";"0.0900000036";"2006-11-29";"12:45:00"
"156";"1011";"10127";"11";"6";"270";"0.0399999991";"15.800000191";"46.040000916";"36.189998627";"0.0900000036";"2006-11-29";"12:40:00"
"157";"1011";"10127";"20";"4";"40";"0.0089999996";"6.3699998856";"15.170000076";"3.9200000763";"0.0199999996";"2006-11-29";"12:35:00"
"158";"1013";"10127";"5";"6";"0";"0";"0";"0";"0";\N;"2007-03-19";"10:30:00"
"159";"1013";"10127";"10";"6";"0";"0";"0";"0";"0";\N;"2007-03-19";"10:20:00"
"160";"1013";"10127";"18";"4";"0";"0";"0";"0";"0";\N;"2007-03-19";"10:05:00"
"161";"1011";"10128";"5";"6";"450";"0.0299999993";"26.450000763";"72.410003662";"69.819999695";"0.1899999976";"2006-11-30";"15:57:00"
"162";"1011";"10128";"10";"6";"225";"0.0199999996";"16.329999924";"36.450000763";"33.220001221";"0.0799999982";"2006-11-30";"15:46:00"
"163";"1011";"10128";"21";"4";"50";"0.0020000001";"10.199999809";"16.799999237";"6.0399999619";"0.0299999993";"2006-11-30";"15:35:00"
"164";"1013";"10128";"5";"6";"0";"0";"0";"0";"0";\N;"2007-03-21";"13:07:00"
"165";"1013";"10128";"10";"6";"0";"0";"0";"0";"0";\N;"2007-03-21";"13:00:00"
"166";"1013";"10128";"17";"4";"0";"0";"0";"0";"0";\N;"2007-03-21";"12:50:00"
"167";"1011";"10129";"5";"6";"355";"0.5600000024";"25.239999771";"75.589996338";"100.36000061";"0.3100000024";"2006-12-01";"07:57:00"
"168";"1011";"10129";"9";"6";"230";"0.2199999988";"23.510000229";"74.870002747";"46.700000763";"0.150000006";"2006-12-01";"07:50:00"
"169";"1011";"10129";"18";"4";"17";"0.0199999996";"3.3800001144";"11.720000267";"2.8399999142";"0.0099999998";"2006-12-01";"07:43:00"
