"idIonsNaAguaIntersticialDoSedimento";"idCampanha";"idSitio";"profundidade";"batimetria";"F";"Cl";"NO2";"Br";"NO3";"PO4";"SO4";"Na";"NH4";"K";"Mg";"Ca";"acetato";"dataMedida";"horaMedida"
"34";"206";"2055";"1.5";"26.5";\N;\N;\N;\N;"11.708800316";\N;"6574.9702148";\N;"73.4375";\N;\N;\N;"2.9321799278";"2007-07-24";"11:15:00"
"35";"206";"2055";"2.5";"26.5";\N;\N;\N;\N;"8.8475503922";\N;"5476.0800781";\N;"180.9980011";\N;\N;\N;"10.512299538";"2007-07-24";"11:15:00"
"36";"206";"2055";"3.5";"26.5";\N;\N;\N;\N;"9.6650400162";\N;"6173.1401367";\N;"109.78500366";\N;\N;\N;"3.8898200989";"2007-07-24";"11:15:00"
"37";"202";"2056";"0.5";"26.5";\N;\N;\N;\N;"106.36299896";\N;"4771.2099609";\N;"1006.6099854";\N;\N;\N;"6.0727801323";"2006-11-20";"16:05:00"
"38";"202";"2056";"1.5";"26.5";\N;\N;\N;\N;"13.376399994";\N;"1452.4599609";\N;"1763.9799805";\N;\N;\N;"9.6920099258";"2006-11-20";"16:05:00"
"39";"202";"2056";"2.5";"26.5";\N;\N;\N;\N;"87.631500244";\N;"528.63702393";\N;"1612.6600342";\N;\N;\N;"19.452800751";"2006-11-20";"16:05:00"
"40";"202";"2056";"3.5";"26.5";\N;\N;\N;\N;"41.83039856";\N;"399.23300171";\N;"1962.0400391";\N;\N;\N;"20.286800385";"2006-11-20";"16:05:00"
"41";"204";"2056";"0.5";"56";\N;\N;\N;\N;"63.395698547";\N;"2263.6298828";\N;"5529.3300781";\N;\N;\N;"12.270999908";"2007-03-28";"08:50:00"
"42";"204";"2056";"1.5";"56";\N;\N;\N;\N;"23.099100113";\N;"477.69500732";\N;"8828.0800781";\N;\N;\N;"13.30739975";"2007-03-28";"08:50:00"
"43";"204";"2056";"2.5";"56";\N;\N;\N;\N;"16.095899582";\N;"480.47601318";\N;"12008.200195";\N;\N;\N;"6.0014600754";"2007-03-28";"08:50:00"
"44";"204";"2056";"3.5";"56";\N;\N;\N;\N;"16.461099625";\N;"479.14001465";\N;"10761.900391";\N;\N;\N;"11.390600204";"2007-03-28";"08:50:00"
"45";"206";"2056";"0.5";"46.5";\N;\N;\N;\N;"140.78999329";\N;"1285.8900146";\N;"8132.2797852";\N;\N;\N;"31.726900101";"2007-07-24";"10:50:00"
"46";"206";"2056";"1.5";"46.5";\N;\N;\N;\N;"9.1200504303";\N;"842.14697266";\N;"8989.0498047";\N;\N;\N;"34.197399139";"2007-07-24";"10:50:00"
"47";"206";"2056";"2.5";"46.5";\N;\N;\N;\N;"23.562299728";\N;"1000.2600098";\N;"11168.400391";\N;\N;\N;"31.486499786";"2007-07-24";"10:50:00"
"48";"206";"2056";"3.5";"46.5";\N;\N;\N;\N;"9.0546503067";\N;"1002.6199951";\N;"11402.799805";\N;\N;\N;"22.689100266";"2007-07-24";"10:50:00"
"49";"202";"2057";"0.5";"36";\N;\N;\N;\N;"102.91799927";\N;"1453.0100098";\N;"2925.6298828";\N;\N;\N;"10.375";"2006-11-20";"16:27:00"
"50";"202";"2057";"1.5";"36";\N;\N;\N;\N;"17.316699982";\N;"684.26702881";\N;"3202.3200684";\N;\N;\N;"7.7605199814";"2006-11-20";"16:27:00"
"51";"202";"2057";"2.5";"36";\N;\N;\N;\N;"25.611499786";\N;"301.45401001";\N;"3091.7900391";\N;\N;\N;"7.6385197639";"2006-11-20";"16:27:00"
"52";"202";"2057";"3.5";"36";\N;\N;\N;\N;"9.4960899353";\N;"548.58898926";\N;"3594.7299805";\N;\N;\N;"6.5191001892";"2006-11-20";"16:27:00"
"53";"204";"2057";"0.5";"46";\N;\N;\N;\N;"17.40940094";\N;"1163.1500244";\N;"5309.0200195";\N;\N;\N;"12.27630043";"2007-03-28";"09:07:00"
"54";"204";"2057";"1.5";"46";\N;\N;\N;\N;"134.1190033";\N;"724.04101562";\N;"8880.0097656";\N;\N;\N;"9.6808595657";"2007-03-28";"09:07:00"
"55";"204";"2057";"2.5";"46";\N;\N;\N;\N;"13.588999748";\N;"438.74899292";\N;"8678.9804688";\N;\N;\N;"7.1436800957";"2007-03-28";"09:07:00"
"56";"204";"2057";"3.5";"46";\N;\N;\N;\N;"125.58999634";\N;"453.34799194";\N;"7294.7998047";\N;\N;\N;"5.0942401886";"2007-03-28";"09:07:00"
"57";"206";"2057";"0.5";"41.5";\N;\N;\N;\N;"9.7849302292";\N;"1200.7800293";\N;"7121.9599609";\N;\N;\N;"19.488199234";"2007-07-24";"10:22:00"
"58";"206";"2057";"1.5";"41.5";\N;\N;\N;\N;"40.228099823";\N;"437.05801392";\N;"8380.7802734";\N;\N;\N;"9.9223299026";"2007-07-24";"10:22:00"
"59";"206";"2057";"2.5";"41.5";\N;\N;\N;\N;"10.357199669";\N;"408.88299561";\N;"9296.1503906";\N;\N;\N;"9.0632600784";"2007-07-24";"10:22:00"
"60";"206";"2057";"3.5";"41.5";\N;\N;\N;\N;"8.9619998932";\N;"535.07202148";\N;"12335.299805";\N;\N;\N;"15.235899925";"2007-07-24";"10:22:00"
"61";"202";"2058";"0.5";"26";\N;\N;\N;\N;"9.9048299789";\N;"1457.2299805";\N;"6449.1499023";\N;\N;\N;"13.306699753";"2006-11-20";"16:54:00"
"62";"202";"2058";"1.5";"26";\N;\N;\N;\N;"41.345401764";\N;"609.55999756";\N;"6475.8598633";\N;\N;\N;"10.134900093";"2006-11-20";"16:54:00"
"63";"202";"2058";"2.5";"26";\N;\N;\N;\N;"12.275500298";\N;"419.35699463";\N;"8318.4697266";\N;\N;\N;"6.7750101089";"2006-11-20";"16:54:00"
"64";"202";"2058";"3.5";"26";\N;\N;\N;\N;"40.92029953";\N;"415.83700562";\N;"9231.6201172";\N;\N;\N;"5.430850029";"2006-11-20";"16:54:00"
"65";"204";"2058";"0.5";"39";\N;\N;\N;\N;"15.654500008";\N;"2687.3100586";\N;"1091.9200439";\N;\N;\N;"1.146510005";"2007-03-28";"09:28:00"
"66";"204";"2058";"1.5";"39";\N;\N;\N;\N;"167.86000061";\N;"930.91802979";\N;"1758.0500488";\N;\N;\N;"3.1003000736";"2007-03-28";"09:28:00"
"67";"204";"2058";"2.5";"39";\N;\N;\N;\N;"31.066799164";\N;"665.47198486";\N;"2401.9299316";\N;\N;\N;"4.1975398064";"2007-03-28";"09:28:00"
"68";"204";"2058";"3.5";"39";\N;\N;\N;\N;"173.375";\N;"352.3999939";\N;"2542.8701172";\N;\N;\N;"2.8474299908";"2007-03-28";"09:28:00"
"69";"206";"2058";"0.5";"35";\N;\N;\N;\N;"12.460800171";\N;"915.59899902";\N;"3818.0100098";\N;\N;\N;"11.040100098";"2007-07-24";"10:04:00"
"70";"206";"2058";"1.5";"35";\N;\N;\N;\N;"10.55340004";\N;"365.07400513";\N;"3807.6298828";\N;\N;\N;"7.6299099922";"2007-07-24";"10:04:00"
"71";"206";"2058";"2.5";"35";\N;\N;\N;\N;"9.5996398926";\N;"237.34199524";\N;"4478.2099609";\N;\N;\N;"6.7159800529";"2007-07-24";"10:04:00"
"72";"206";"2058";"3.5";"35";\N;\N;\N;\N;"9.5832901001";\N;"202.95899963";\N;"4716.3198242";\N;\N;\N;"6.79997015";"2007-07-24";"10:04:00"
"73";"202";"2059";"0.5";"7.3000001907";\N;\N;\N;\N;"13.387299538";\N;"2677.4499512";\N;"1337.4499512";\N;\N;\N;"8.4901199341";"2006-11-20";"15:04:00"
"74";"202";"2059";"1.5";"7.3000001907";\N;\N;\N;\N;"10.776800156";\N;"1569";\N;"867.15600586";\N;\N;\N;"7.8081598282";"2006-11-20";"15:04:00"
"75";"202";"2059";"2.5";"7.3000001907";\N;\N;\N;\N;"23.551399231";\N;"584.11602783";\N;"1111.2099609";\N;\N;\N;"19.518699646";"2006-11-20";"15:04:00"
"76";"202";"2059";"3.5";"7.3000001907";\N;\N;\N;\N;"13.975899696";\N;"429.88500977";\N;"1307.7800293";\N;\N;\N;"26.522100449";"2006-11-20";"15:04:00"
"77";"204";"2059";"0.5";"9.5";\N;\N;\N;\N;"164.30099487";\N;"3198.6699219";\N;"661.67999268";\N;\N;\N;"9.2483501434";"2007-03-28";"09:47:00"
"78";"204";"2059";"1.5";"9.5";\N;\N;\N;\N;"160.01699829";\N;"675.92999268";\N;"939.10998535";\N;\N;\N;"13.779000282";"2007-03-28";"09:47:00"
"79";"204";"2059";"2.5";"9.5";\N;\N;\N;\N;"82.75920105";\N;"366.23999023";\N;"1218.0200195";\N;\N;\N;"33.929199219";"2007-03-28";"09:47:00"
"80";"204";"2059";"3.5";"9.5";\N;\N;\N;\N;"189.46899414";\N;"262.59799194";\N;"1568.1500244";\N;\N;\N;"16.118099213";"2007-03-28";"09:47:00"
"81";"206";"2059";"0.5";"2.0999999046";\N;\N;\N;\N;"9.8557796478";\N;"1005.2999878";\N;"2283.2399902";\N;\N;\N;"8.4516000748";"2007-07-24";"09:35:00"
"82";"206";"2059";"1.5";"2.0999999046";\N;\N;\N;\N;"16.36300087";\N;"455.21200562";\N;"1988.0100098";\N;\N;\N;"5.4635400772";"2007-07-24";"09:35:00"
"83";"206";"2059";"2.5";"2.0999999046";\N;\N;\N;\N;"67.891899109";\N;"259.08599854";\N;"2316.6201172";\N;\N;\N;"5.9822001457";"2007-07-24";"09:35:00"
"84";"206";"2059";"3.5";"2.0999999046";\N;\N;\N;\N;"9.2944402695";\N;"245.74899292";\N;"3218.6398926";\N;\N;\N;"8.6963701248";"2007-07-24";"09:35:00"
"85";"202";"2060";"0.5";"27.399999619";\N;\N;\N;\N;"144.44700623";\N;"564.63702393";\N;"9280.5800781";\N;\N;\N;"24.019199371";"2006-11-22";"10:34:00"
"86";"202";"2060";"1.5";"27.399999619";\N;\N;\N;\N;"13.588999748";\N;"330.6210022";\N;"12919.099609";\N;\N;\N;"12.170999527";"2006-11-22";"10:34:00"
"87";"202";"2060";"2.5";"27.399999619";\N;\N;\N;\N;"11.626999855";\N;"278.49398804";\N;"13967.200195";\N;\N;\N;"12.494199753";"2006-11-22";"10:34:00"
"88";"202";"2060";"3.5";"27.399999619";\N;\N;\N;\N;"13.529000282";\N;"197.50500488";\N;"16481.900391";\N;\N;\N;"9.3835201263";"2006-11-22";"10:34:00"
"89";"204";"2060";"0.5";"34";\N;\N;\N;\N;"30.09679985";\N;"1619.4300537";\N;"3225.3200684";\N;\N;\N;"24.034599304";"2007-03-28";"10:44:00"
"90";"204";"2060";"1.5";"34";\N;\N;\N;\N;"26.276399612";\N;"455.39199829";\N;"4481.9199219";\N;\N;\N;"17.209699631";"2007-03-28";"10:44:00"
"91";"204";"2060";"2.5";"34";\N;\N;\N;\N;"34.97990036";\N;"341.48498535";\N;"4451.5";\N;\N;\N;"19.281200409";"2007-03-28";"10:44:00"
