"idMedidaCampoSuperficie";"idCampanha";"idSitio";"secchi";"tempAgua";"condutividade";"DO";"pH";"turbidez";"materialEmSuspensao";"dataMedida";"horaMedida"
"216";"1602";"16091";"3";"23.799999237";"33.9000015259";"6.3859000206";"7.4600000381";"1.1000000238";\N;"2005-11-17";"17:00:00"
"217";"1605";"16091";"4";"25";"35";"3.9396998882";"6.6999998093";"1.7999999523";\N;"2006-04-07";"11:06:00"
"218";"1608";"16091";"4.5";"21.799999237";"34";"0.400000006";"7.1399998665";"1.5";\N;"2006-08-04";"14:50:00"
"219";"1602";"16092";\N;"24.399999619";"34.2999992371";"5.2600002289";"7.1999998093";"1.3999999762";\N;"2005-11-17";"18:00:00"
"220";"1605";"16092";"2.2000000477";"26.5";"34.5999984741";"4.5714998245";"6.8200001717";"1.7000000477";\N;"2006-04-07";"11:40:00"
"221";"1608";"16092";"5";"22.799999237";"34";"5.4000000954";"7.1500000954";"1.2999999523";\N;"2006-08-04";"16:00:00"
"222";"1602";"16093";\N;"27.100000381";"49.5";"6.5155000687";"7.4600000381";"2";\N;"2005-11-17";"19:00:00"
"223";"1605";"16093";"2.7999999523";"28.100000381";"38.5999984741";"3.9154000282";"7.0500001907";"2.4000000954";\N;"2006-04-07";"13:30:00"
"224";"1608";"16093";"4.5";"23.200000763";"34";"5.0999999046";"7.4800000191";"1.2000000477";\N;"2006-08-04";"17:00:00"
"225";"1602";"16094";\N;"25.100000381";"54.2999992371";"5.9161000252";"7.3899998665";"50";\N;"2005-11-21";"08:00:00"
"226";"1608";"16094";\N;"20";"128";"2.4000000954";"7.2800002098";"9.1000003815";\N;"2006-08-04";"15:30:00"
"227";"1602";"16095";\N;"26.700000763";"36.0999984741";"6.6126999855";"7.3099999428";"1.5";\N;"2005-11-17";"19:00:00"
"228";"1605";"16095";"5.0999999046";"28.899999619";"35.7000007629";"4.8468999863";"7.0500001907";"1.2000000477";\N;"2006-04-12";"12:45:00"
"229";"1608";"16095";"3.7000000477";"23.899999619";"34";"5";"7.4499998093";"1.2999999523";\N;"2006-08-04";"17:40:00"
"230";"1602";"16096";"0.8000000119";"23.200000763";"23.2000007629";"5.4219999313";"7.1700000763";"9.5";\N;"2005-11-17";"12:44:00"
"231";"1602";"16097";"3";"26.700000763";"32.2000007629";"5.3572001457";"7.3299999237";"1.7000000477";\N;"2005-11-17";"12:21:00"
"232";"1605";"16097";"4.5";"27.100000381";"33.7999992371";"6.102399826";"7.25";"1.1000000238";\N;"2006-04-11";"17:15:00"
"233";"1608";"16097";"7.5";"23.399999619";"30";"6.0999999046";"7.3000001907";"1";\N;"2006-08-08";"14:40:00"
"234";"1602";"16098";"5.5";"27.399999619";"35.2000007629";"5.170899868";"7.8099999428";"0.8500000238";\N;"2005-11-17";"11:13:00"
"235";"1605";"16098";"4";"27.700000763";"33.7999992371";"6.4021000862";"7.4800000191";"1";\N;"2006-04-11";"16:30:00"
"236";"1608";"16098";"7.5";"23.100000381";"33.7999992371";"3.9000000954";"7.4200000763";"1.2000000477";\N;"2006-08-08";"10:40:00"
"237";"1605";"16099";\N;"22.700000763";"102.199996948";"1.9957000017";"6.8699998856";"14";\N;"2006-04-07";"18:26:00"
"238";"1608";"16099";\N;"15";"155";"5.5999999046";"6.6599998474";"27";\N;"2006-08-04";"14:30:00"
