"idMedidaCampoSuperficie";"idCampanha";"idSitio";"secchi";"tempAgua";"condutividade";"DO";"pH";"turbidez";"materialEmSuspensao";"dataMedida";"horaMedida"
"120";"1310";"13108";"1.7000000477";"23.899999619";"32.5";"6.1834001541";"7.5799999237";"2.9000000954";"0.4000000059604645";"2005-08-23";\N
"121";"1302";"13109";"0.1000000015";"24.799999237";"21.6000003815";"10.055199623";"7.4299998283";"423";"433";"2004-11-18";\N
"122";"1306";"13109";"0.200000003";"26.700000763";"34.5";"4.4176001549";"7.3600001335";"54.700000763";"66.19999694824219";"2005-03-15";\N
"123";"1302";"13110";\N;\N;\N;\N;\N;"3.2599999905";"1.2000000476837158";"2004-11-18";\N
"124";"1306";"13110";"1";"29";"29.6000003815";"4.4176001549";"7.6500000954";"9.6999998093";"3.4000000953674316";"2005-03-15";\N
"125";"1310";"13110";"2.0999999046";"22.799999237";"31.7999992371";"4.6444001198";"7.5199999809";"2.9000000954";"4.599999904632568";"2005-08-22";\N
"126";"1306";"13115";"0.200000003";"26.299999237";"31.7000007629";"6.280600071";"7.0300002098";"63.200000763";"57.20000076293945";"2005-03-15";\N
"127";"1310";"13115";"0.1299999952";"22.100000381";"37.2000007629";"7.0015001297";"7.6999998093";"60";"186.60000610351562";"2005-08-23";\N
"128";"1306";"13116";"0.200000003";"27.399999619";"31.1000003815";"5.9161000252";"7.0100002289";"66.300003052";"45";"2005-03-15";\N
"129";"1310";"13116";"0.25";"24.5";"39.2000007629";"5.3085999489";"7.3099999428";"27";"31.399999618530273";"2005-08-23";\N
"130";"1402";"14076";"3.5";"24.700000763";"35.5";"5.1951999664";"7.2800002098";"1.2999999523";\N;"2005-11-18";"18:30:00"
"131";"1405";"14076";"2.2999999523";"26.100000381";"34";"4.7010998726";"6.9299998283";"3.2999999523";\N;"2006-04-10";"08:32:00"
"132";"1408";"14076";"6.6999998093";"21.899999619";"34";"2.8499999046";"7.3899998665";"1";\N;"2006-08-09";"12:02:00"
"133";"1402";"14077";\N;"24.100000381";"19.7999992371";"7.1392002106";"7.0500001907";"16";\N;"2005-11-18";"15:30:00"
"134";"1405";"14077";"2.7999999523";"26";"33.9000015259";"5.2438001633";"7.1399998665";"3";\N;"2006-04-10";"08:55:00"
"135";"1408";"14077";"6.6999998093";"22.299999237";"34";"3.4800000191";"7.0599999428";"1";\N;"2006-08-09";"12:32:00"
"136";"1402";"14078";"5";"27";"35.0999984741";"6.102399826";"7.4400000572";"0.8999999762";\N;"2005-11-18";"17:45:00"
"137";"1405";"14078";"3.5";"26.600000381";"33.5999984741";"5.3166999817";"7.0100002289";"2.2999999523";\N;"2006-04-10";"09:10:00"
"138";"1408";"14078";\N;"22.299999237";"34";"3.5599999428";"6.8699998856";"1.5";\N;"2006-08-09";"13:28:00"
"139";"1402";"14079";"5.5";"26.299999237";"35.2999992371";"6.053800106";"7.5399999619";"2.2999999523";\N;"2005-11-18";"17:30:00"
"140";"1405";"14079";"3.7000000477";"26.700000763";"34.0999984741";"5.1789999008";"7.1999998093";"2.2000000477";\N;"2006-04-10";"09:27:00"
"141";"1408";"14079";"7.6999998093";"22.799999237";"34";"4.1199998856";"7.1100001335";"0.8000000119";\N;"2006-08-09";"14:00:00"
"142";"1402";"14080";\N;"22.100000381";"26.7999992371";"6.280600071";"7.0500001907";"39";\N;"2005-11-18";"19:25:00"
"143";"1405";"14080";\N;"21.200000763";"20.8999996185";"6.6936998367";"7.2800002098";"18";\N;"2006-04-08";"17:36:00"
"144";"1408";"14080";\N;"24.700000763";"19";"5.0900001526";"6.5399999619";"5.6999998093";\N;"2006-08-09";"12:20:00"
"145";"1402";"14081";\N;"25.100000381";"45.4000015259";"8.4433002472";"7.3899998665";"21";\N;"2005-11-18";"18:20:00"
"146";"1405";"14081";\N;"22.100000381";"86.0999984741";"7.0500998497";"7.2699999809";"1.6000000238";\N;"2006-04-08";"19:00:00"
"147";"1408";"14081";\N;"23.5";"77";"5.5100002289";"7.5399999619";"3.2000000477";\N;"2006-08-09";"13:20:00"
"148";"1402";"14082";"3.5";"26.399999619";"35.2999992371";"5.835100174";"7.5199999809";"0.75";\N;"2005-11-18";"16:20:00"
"149";"1405";"14082";"5";"26.5";"34.4000015259";"6.102399826";"7.0700001717";"1.2000000477";\N;"2006-04-08";"15:30:00"
"150";"1408";"14082";"9.5";"24";"35";"4.0599999428";"7.3499999046";"0.5";\N;"2006-08-10";"13:30:00"
"151";"1402";"14083";"4.5";"26.799999237";"35.5";"5.9323000908";"7.5999999046";"0.8500000238";\N;"2005-11-18";"16:00:00"
"152";"1405";"14083";"3.2000000477";"26.899999619";"34.5999984741";"5.6406998634";"6.9400000572";"2.0999999046";\N;"2006-04-10";"11:50:00"
"153";"1408";"14083";"6.5";"23.700000763";"35";"4.0900001526";"7.0199999809";"0.8999999762";\N;"2006-08-10";"14:20:00"
"154";"1402";"14084";\N;"23.399999619";"36";"6.0213999748";"7.2699999809";"1";\N;"2005-11-18";"11:00:00"
"155";"1405";"14084";\N;"25";"35.5";"5.7459998131";"6.9600000381";"2.7000000477";\N;"2006-04-08";"12:00:00"
"156";"1408";"14084";\N;"25.600000381";"39";"3.75";"7.1500000954";"1";\N;"2006-08-09";"16:40:00"
"157";"1502";"15161";\N;"25.600000381";"38.5999984741";"5.608300209";"7.3699998856";"18";\N;"2005-11-22";"12:00:00"
"158";"1505";"15161";\N;"25";"38";"4.8631000519";"6.9299998283";"13";\N;"2006-04-04";"14:20:00"
"159";"1508";"15161";\N;"16";"41";"5.9000000954";"7.0300002098";"9.3999996185";\N;"2006-08-02";"13:50:00"
"160";"1502";"15162";\N;"23.100000381";"67.6999969482";"5.122300148";"7.4200000763";"26";\N;"2005-11-22";"11:28:00"
"161";"1505";"15162";\N;"23";"59";"3.5833001137";"6.6700000763";"13";\N;"2006-04-04";"15:45:00"
"162";"1508";"15162";\N;"23";"139";"1.2999999523";"6.9499998093";"25";\N;"2006-08-02";"15:30:00"
"163";"1502";"15163";\N;"27.600000381";"47.4000015259";"5.8189001083";"7.5700001717";"6.6999998093";\N;"2005-11-22";"12:23:00"
"164";"1505";"15163";\N;"26.5";"31.6000003815";"4.6687002182";"7.2100000381";"8.8999996185";\N;"2006-04-04";"14:00:00"
"165";"1508";"15163";"4.5";"20";"34";"5.1999998093";"7.3099999428";"1.2000000477";\N;"2006-08-02";"11:20:00"
"166";"1502";"15164";\N;"29.200000763";"47.2000007629";"5.1142001152";"7.5300002098";"6.5999999046";\N;"2005-11-22";"16:20:00"
"167";"1505";"15164";"2";"26.899999619";"40.7000007629";"4.4338002205";"6.9800000191";"2.7999999523";\N;"2006-04-04";"12:07:00"
"168";"1508";"15164";\N;"19";"34";"3.0999999046";"6.9099998474";"6.1999998093";\N;"2006-08-02";"12:15:00"
"169";"1502";"15165";\N;"25.600000381";"38.7999992371";"5.4706001282";"7.3400001526";"19";\N;"2005-11-23";"16:58:00"
