"idFluxoBolhasInpe";"idCampanha";"idSitio";"profundidade";"CH4";"CH4_desvioPadrao";"CH4_amostras";"dataMedida";"horaMedida"
"61";"1303";"13118";"3";"0";"0";"9";"2005-03-14";"12:00:00"
"62";"1303";"13118";"3";"0";"0";"9";"2005-03-14";"13:00:00"
"63";"1303";"13118";"3";"0";"0";"9";"2005-03-14";"14:00:00"
"64";"1303";"13118";"3";"4.394299984";"13.4423999786377";"9";"2005-03-14";"15:00:00"
"65";"1303";"13118";"3";"12.857700348";"23.8582992553711";"9";"2005-03-14";"16:00:00"
"66";"1303";"13118";"3";"6.638229847";"20.9918994903564";"9";"2005-03-14";"17:00:00"
"67";"1303";"13118";"3";"27.179100037";"56.040901184082";"9";"2005-03-14";"18:00:00"
"68";"1303";"13118";"3";"8.2751398087";"17.7915992736816";"9";"2005-03-14";"19:00:00"
"69";"1303";"13118";"3";"29.903600693";"34.6487998962402";"9";"2005-03-14";"20:00:00"
"70";"1303";"13118";"3";"13.135499954";"19.4873008728027";"9";"2005-03-14";"21:00:00"
"71";"1303";"13118";"3";"0";"0";"9";"2005-03-14";"22:00:00"
"72";"1303";"13118";"3";"0";"0";"9";"2005-03-14";"23:00:00"
"73";"1303";"13118";"3";"0";"0";"9";"2005-03-15";"00:00:00"
"74";"1303";"13118";"3";"0";"0";"9";"2005-03-15";"01:00:00"
"75";"1303";"13118";"3";"0";"0";"9";"2005-03-15";"02:00:00"
"76";"1303";"13118";"3";"0";"0";"9";"2005-03-15";"03:00:00"
"77";"1303";"13118";"3";"0";"0";"9";"2005-03-15";"04:00:00"
"78";"1303";"13118";"3";"0";"0";"9";"2005-03-15";"05:00:00"
"79";"1303";"13118";"3";"0";"0";"9";"2005-03-15";"06:00:00"
"80";"1303";"13118";"3";"0";"0";"9";"2005-03-15";"07:00:00"
"81";"1303";"13118";"3";"0";"0";"9";"2005-03-15";"08:00:00"
"82";"1303";"13118";"3";"0";"0";"9";"2005-03-15";"09:00:00"
"83";"1303";"13118";"3";"0";"0";"9";"2005-03-15";"10:00:00"
"84";"1303";"13118";"3";"0";"0";"9";"2005-03-15";"11:00:00"
"85";"1303";"13118";"3";"6.1357698441";"19.3719005584717";"9";"2005-03-15";"12:00:00"
"86";"1303";"13118";"3";"0";"0";"9";"2005-03-15";"13:00:00"
"87";"1303";"13118";"3";"0";"0";"9";"2005-03-15";"14:00:00"
"88";"1303";"13118";"3";"0";"0";"9";"2005-03-15";"15:00:00"
"89";"1303";"13118";"3";"0";"0";"9";"2005-03-15";"16:00:00"
"90";"1303";"13118";"3";"0";"0";"9";"2005-03-15";"17:00:00"
"91";"1303";"13118";"3";"131.58700562";"380.243011474609";"9";"2005-03-15";"18:00:00"
"92";"1303";"13118";"3";"0";"0";"9";"2005-03-15";"19:00:00"
"93";"1303";"13118";"3";"0";"0";"9";"2005-03-15";"20:00:00"
"94";"1303";"13118";"3";"0";"0";"9";"2005-03-15";"21:00:00"
"95";"1303";"13118";"3";"0";"0";"9";"2005-03-15";"22:00:00"
"96";"1303";"13118";"3";"0";"0";"9";"2005-03-15";"23:00:00"
"97";"1303";"13118";"3";"0";"0";"9";"2005-03-16";"00:00:00"
"98";"1303";"13118";"3";"0";"0";"9";"2005-03-16";"01:00:00"
"99";"1303";"13118";"3";"0";"0";"9";"2005-03-16";"02:00:00"
"100";"1303";"13118";"3";"0";"0";"9";"2005-03-16";"03:00:00"
"101";"1303";"13118";"3";"0";"0";"9";"2005-03-16";"04:00:00"
"102";"1303";"13118";"3";"0";"0";"9";"2005-03-16";"05:00:00"
"103";"1303";"13118";"3";"0";"0";"9";"2005-03-16";"06:00:00"
"104";"1303";"13118";"3";"0";"0";"9";"2005-03-16";"07:00:00"
"105";"1303";"13118";"3";"0";"0";"9";"2005-03-16";"08:00:00"
"106";"1303";"13118";"3";"0.0386786982";"0.12231300026178";"9";"2005-03-16";"09:00:00"
"107";"1303";"13118";"3";"4.7897701263";"13.3924999237061";"9";"2005-03-16";"10:00:00"
"108";"1303";"13118";"3";"0";"0";"9";"2005-03-16";"11:00:00"
"109";"1303";"13118";"3";"0";"0";"9";"2005-03-16";"12:00:00"
"110";"1303";"13118";"3";"0";"0";"9";"2005-03-16";"13:00:00"
"111";"1303";"13118";"3";"0";"0";"9";"2005-03-16";"14:00:00"
"112";"1303";"13118";"3";"0";"0";"9";"2005-03-16";"15:00:00"
"113";"1303";"13118";"3";"0";"0";"9";"2005-03-16";"16:00:00"
"114";"1303";"13118";"3";"0";"0";"9";"2005-03-16";"17:00:00"
"115";"1303";"13118";"3";"0";"0";"9";"2005-03-16";"18:00:00"
"116";"1303";"13118";"3";"6.0737600327";"19.0097999572754";"9";"2005-03-16";"19:00:00"
"117";"1303";"13118";"3";"0";"0";"9";"2005-03-16";"20:00:00"
"118";"1303";"13118";"3";"8.600979805";"27.1986999511719";"9";"2005-03-16";"21:00:00"
"119";"1303";"13118";"3";"0";"0";"9";"2005-03-16";"22:00:00"
"120";"1303";"13118";"3";"0";"0";"9";"2005-03-16";"23:00:00"
"121";"1303";"13118";"3";"0";"0";"9";"2005-03-17";"00:00:00"
"122";"1303";"13118";"3";"0";"0";"9";"2005-03-17";"01:00:00"
"123";"1303";"13118";"3";"0";"0";"9";"2005-03-17";"02:00:00"
"124";"1303";"13118";"3";"12.594200134";"23.3894996643066";"9";"2005-03-17";"03:00:00"
"125";"1303";"13118";"3";"5.3792200089";"14.9731998443604";"9";"2005-03-17";"04:00:00"
"126";"1303";"13118";"3";"0";"0";"9";"2005-03-17";"05:00:00"
"127";"1303";"13118";"3";"13.694899559";"32.3532981872559";"9";"2005-03-17";"06:00:00"
"128";"1303";"13118";"3";"25.348600388";"33.3838005065918";"9";"2005-03-17";"07:00:00"
