"idCampoPorTabela";"idTabela";"nome";"rotulo";"unidade";"descricao";"principal";"ordem";"tipo"
"84";"11";"batimetria";"Cota";"m";"Nível da água";"sim";"3";"number"
"85";"11";"intervalo";"Intervalo";"mm";"Direção do fluxo: positivo (através da interface) e negativo (para a interface)";"sim";"4";"string"
"86";"11";"ch4";"CH4";"mM/m2/dia";"Metano";"sim";"5";"number"
"87";"11";"co2";"CO2";"mM/m2/dia";"Dióxido de carbono";"sim";"6";"number"
"88";"12";"dataMedida";"Data";\N;\N;"nao";"1";"date"
"89";"12";"horaMedida";"Horário";\N;\N;"nao";"2";"timeofday"
"90";"12";"profundidade";"Profundidade";"m";\N;"sim";"3";"number"
"91";"12";"co2";"CO2";"mg/m2/dia";"Fluxo de CO2 na interface água-ar";"sim";"4";"number"
"92";"12";"co2_desviopadrao";"Desvio padrão CO2";\N;\N;"sim";"5";"number"
"93";"12";"co2_amostras";"Nro. de amostras CO2";\N;\N;"sim";"6";"number"
"94";"12";"ch4";"CH4";"mg/m2/dia";"Fluxo de CH4 difusivo+bolhas na interface água-ar";"sim";"7";"number"
"95";"12";"ch4_desviopadrao";"Desvio Padrão CH4";\N;\N;"sim";"8";"number"
"96";"12";"ch4_amostras";"Nro. de amostras CH4";\N;\N;"sim";"9";"number"
"97";"13";"dataMedida";"Data";\N;\N;"nao";"1";"date"
"98";"13";"profundidade";"Profundidade";"m";"Profundidade de coleta";"sim";"2";"number"
"99";"13";"co2";"CO2";"ml";"Máximo volume de gás extraível de um volume de 250 ml de água";"sim";"3";"number"
"100";"13";"o2";"O2";"ml";"Máximo volume de gás extraível de um volume de 250 ml de água";"sim";"4";"number"
"101";"13";"n2";"N2";"ml";"Máximo volume de gás extraível de um volume de 250 ml de água";"sim";"5";"number"
"102";"13";"ch4";"CH4";"ml";"Máximo volume de gás extraível de um volume de 250 ml de água";"sim";"6";"number"
"103";"13";"n2o";"N2O";"ml";"Máximo volume de gás extraível de um volume de 250 ml de água";"sim";"7";"number"
"104";"14";"dataMedida";"Data";\N;\N;"nao";"1";"date"
"105";"14";"horaMedida";"Horário";\N;\N;"nao";"2";"timeofday"
"106";"14";"profundidade";"Profundidade";"cm";"Intervalo de profundidade da fatia de sedimento";"sim";"3";"number"
"107";"14";"batimetria";"Cota";"m";"Nível da água";"sim";"4";"number"
"108";"14";"f";"F-";"ug/l";"Fluoreto";"sim";"5";"number"
"109";"14";"cl";"Cl-";"mg/L";"Cloreto";"sim";"6";"number"
"110";"14";"no2";"NO2-";"ug N/L";"Nitrito";"sim";"7";"number"
"111";"14";"br";"Br-";"ug/L";"Brometo";"sim";"8";"number"
"112";"14";"no3";"NO3-";"ug N/L";"Nitrato";"sim";"9";"number"
"113";"14";"po4";"PO4---";"ug P/L";"Fosfato";"sim";"10";"number"
"114";"14";"so4";"SO4--";"ug S/L";"Sulfato";"sim";"11";"number"
"115";"14";"na";"Na+";"mg/L";"Sódio";"sim";"12";"number"
"116";"14";"nh4";"NH4+";"ug N/L";"Amônio";"sim";"13";"number"
"117";"14";"k";"K+";"mg/L";"Potássio";"sim";"14";"number"
"118";"14";"mg";"Mg";"mg/L";"Magnésio";"sim";"15";"number"
"119";"14";"ca";"Ca++";"mg/L";"Cálcio";"sim";"16";"number"
"120";"14";"acetato";"Acetato";"mg/L";\N;"sim";"17";"number"
"121";"15";"dataMedida";"Data";\N;\N;"nao";"1";"date"
"122";"15";"horaMedida";"Horário";\N;\N;"nao";"2";"timeofday"
"123";"15";"profundidade";"Profundidade";"cm";"Intervalo de profundidade da fatia de sedimento";"sim";"3";"number"
"124";"15";"batimetria";"Cota";"m";"Nível da água";"sim";"4";"number"
"125";"15";"n2";"N2";"mg/g sed";"Concentração de Nitrogênio Total Kjeldahl no sedimento";"sim";"5";"number"
"126";"15";"pt";"PT";"mg/g sed";"Concentração de Fósforo Total no sedimento";"sim";"6";"number"
"127";"15";"tc";"TC";"mg/g sed";"Concentração de Carbono Total no sedimento";"sim";"7";"number"
"128";"16";"dataMedida";"Data";\N;\N;"nao";"1";"date"
"129";"16";"horaMedida";"Horário";\N;\N;"nao";"2";"timeofday"
"130";"16";"profundidade";"Profundidade";"m";"Profundidade de coleta";"sim";"3";"number"
"131";"16";"batimetria";"Cota";"m";"Nível da água";"sim";"4";"number"
"132";"16";"tempar";"Temp. do ar";"oC";\N;"sim";"5";"number"
"133";"16";"tempagua";"Temp. da água";"oC";\N;"sim";"6";"number"
"134";"16";"do";"DO";"mg/L";"Oxigênio dissolvido";"sim";"7";"number"
"135";"16";"ph";"pH";\N;\N;"sim";"8";"number"
"136";"16";"redox";"Potencial REDOX";"mV";"Potencial de óxido redução";"sim";"9";"number"
"137";"16";"vento";"Vel. do vento";"m/s";\N;"sim";"10";"string"
"138";"18";"dataMedida";"Data";\N;\N;"nao";"1";"date"
"139";"18";"profundidade";"Camada";"cm";"Profundidade no sedimento";"sim";"2";"string"
"140";"18";"tc";"TC";"mgC/gP.S";"Carbono total em sedimento";"sim";"3";"number"
"141";"19";"dataMedida";"Data";\N;\N;"nao";"1";"date"
"142";"19";"horaMedida";"Horário";\N;\N;"nao";"2";"timeofday"
"143";"19";"profundidade";"Profundidade";"m";"Profundidade de coleta";"sim";"3";"number"
"144";"19";"secchi";"Secchi";"m";"Profundidade do disco de Secchi";"sim";"4";"number"
"145";"19";"batimetria";"Cota";"m";"Nível da água";"sim";"5";"number"
"146";"19";"f";"F-";"ug/L";"Fluoreto";"sim";"6";"number"
"147";"19";"cl";"Cl-";"mg/L";"Cloreto";"sim";"7";"number"
"148";"19";"nno3";"N-NO3-";"ug/L";"Nitrato";"sim";"8";"number"
"149";"19";"ppo43";"P-PO43-";"ug/L";"Fosfato";"sim";"9";"number"
"150";"19";"sso42";"S-SO42-";"ug/L";"Sulfato";"sim";"10";"number"
"151";"19";"li";"Li";"ug/L";"Lítio";"sim";"11";"number"
"152";"19";"na";"Na";"mg/L";"Sódio";"sim";"12";"number"
"153";"19";"nnh4";"N-NH4";"ug/L";"Amônio";"sim";"13";"number"
"154";"19";"k";"K";"mg/L";"Potássio";"sim";"14";"number"
"155";"19";"mg";"Mg";"mg/L";"Magnésio";"sim";"15";"number"
"156";"19";"ca";"Ca";"mg/L";"Cálcio";"sim";"16";"number"
"157";"19";"clorofila";"Clorofila";"ug/L";"Clorofila a";"sim";"17";"number"
"158";"19";"feofitina";"Feofitina";"ug/L";\N;"sim";"18";"number"
"159";"19";"turbidez";"Turbidez";"NTU";\N;"sim";"19";"number"
"160";"19";"nt";"NT";"mg/L";"Concentração de Nitrogênio Orgânico Total (NTK)";"sim";"20";"number"
"161";"19";"pt";"PT";"ug/L";"Concentração de Fósforo Total";"sim";"21";"number"
"162";"19";"tdc";"TDC";"mg/L";"Concentração de carbono total dissolvido";"sim";"22";"number"
"163";"20";"dataMedida";"Data";\N;\N;"nao";"1";"date"
"164";"20";"horaMedida";"Horário";\N;\N;"nao";"2";"timeofday"
