"idNutrientesSedimento";"idCampanha";"idSitio";"profundidade";"batimetria";"N2";"PT";"TC";"dataMedida";"horaMedida"
"54";"204";"2057";"1.5";"46";"2.4892599583";"0.9698870182";"28.780000687";"2007-03-28";"09:07:00"
"55";"204";"2057";"2.5";"46";"2.5395400524";"0.9135969877";"26.170000076";"2007-03-28";"09:07:00"
"56";"204";"2057";"3.5";"46";"2.6149799824";"0.9651290178";"25.25";"2007-03-28";"09:07:00"
"57";"206";"2057";"0.5";"41.5";"2.94562006";"0.5250480175";"33.169998169";"2007-07-24";"10:22:00"
"58";"206";"2057";"1.5";"41.5";"2.5948600769";"0.5677899718";"31.340000153";"2007-07-24";"10:22:00"
"59";"206";"2057";"2.5";"41.5";"2.7570400238";"0.5310159922";"30.840000153";"2007-07-24";"10:22:00"
"60";"206";"2057";"3.5";"41.5";"2.4138200283";"0.4489189982";"30.86000061";"2007-07-24";"10:22:00"
"61";"202";"2058";"0.5";"26";"4.1773500443";"0.9977099895";"24.600000381";"2006-11-20";"16:54:00"
"62";"202";"2058";"1.5";"26";"3.5525801182";"0.9911770225";"23.61000061";"2006-11-20";"16:54:00"
"63";"202";"2058";"2.5";"26";"3.2420198917";"1.020449996";"22.649999619";"2006-11-20";"16:54:00"
"64";"202";"2058";"3.5";"26";"3.0867400169";"1.0136799812";"21.870000839";"2006-11-20";"16:54:00"
"65";"204";"2058";"0.5";"39";"1.2700999975";"0.6782739758";"2.2400000095";"2007-03-28";"09:28:00"
"66";"204";"2058";"1.5";"39";"1.3906199932";"0.7022259831";"2.7599999905";"2007-03-28";"09:28:00"
"67";"204";"2058";"2.5";"39";"1.2886400223";"0.7058550119";"3.9300000668";"2007-03-28";"09:28:00"
"68";"204";"2058";"3.5";"39";"1.3488999605";"0.7071449757";"6.6900000572";"2007-03-28";"09:28:00"
"69";"206";"2058";"0.5";"35";"2.4817099571";"1.0312600136";"25.479999542";"2007-07-24";"10:04:00"
"70";"206";"2058";"1.5";"35";"2.296900034";"0.9702100158";"25.510000229";"2007-07-24";"10:04:00"
"71";"206";"2058";"2.5";"35";"2.3459401131";"0.9569029808";"25.459999084";"2007-07-24";"10:04:00"
"72";"206";"2058";"3.5";"35";"1.9574600458";"0.9497259855";"23.069999695";"2007-07-24";"10:04:00"
"73";"202";"2059";"0.5";"7.3000001907";"0.3387889862";"0.1678709984";"4.2699999809";"2006-11-20";"15:04:00"
"74";"202";"2059";"1.5";"7.3000001907";"0.3952539861";"0.2310969979";"6.8499999046";"2006-11-20";"15:04:00"
"75";"202";"2059";"2.5";"7.3000001907";"0.7011049986";"0.2503710091";"10.220000267";"2006-11-20";"15:04:00"
"76";"202";"2059";"3.5";"7.3000001907";"0.7152209878";"0.2299679965";"10.119999886";"2006-11-20";"15:04:00"
"77";"204";"2059";"0.5";"9.5";"0.1317510009";"0.2713389993";"8.2299995422";"2007-03-28";"09:47:00"
"78";"204";"2059";"1.5";"9.5";"0.1882160008";"0.2190809995";"11.470000267";"2007-03-28";"09:47:00"
"79";"204";"2059";"2.5";"9.5";"0.2446810007";"0.2025479972";"11.789999962";"2007-03-28";"09:47:00"
"80";"204";"2059";"3.5";"9.5";"0.2352699935";"0.197548002";"11.359999657";"2007-03-28";"09:47:00"
"81";"206";"2059";"0.5";"2.0999999046";"1.3954900503";"0.7243229747";"15.399999619";"2007-07-24";"09:35:00"
"82";"206";"2059";"1.5";"2.0999999046";"1.3539999723";"0.641741991";"15.159999847";"2007-07-24";"09:35:00"
"83";"206";"2059";"2.5";"2.0999999046";"1.0258799791";"0.6138389707";"12.06000042";"2007-07-24";"09:35:00"
"84";"206";"2059";"3.5";"2.0999999046";"0.8636959791";"0.6210970283";"10.949999809";"2007-07-24";"09:35:00"
"85";"202";"2060";"0.5";"27.399999619";"4.719520092";"0.99150002";"37.569999695";"2006-11-22";"10:34:00"
"86";"202";"2060";"1.5";"27.399999619";"4.0372300148";"1.0286799669";"32.880001068";"2006-11-22";"10:34:00"
"87";"202";"2060";"2.5";"27.399999619";"3.0302801132";"0.9035969973";"29.440000534";"2006-11-22";"10:34:00"
"88";"202";"2060";"3.5";"27.399999619";"2.9738099575";"0.911741972";"28.850000381";"2006-11-22";"10:34:00"
"89";"204";"2060";"0.5";"34";"3.9215500355";"0.8176289797";"26.309999466";"2007-03-28";"10:44:00"
"90";"204";"2060";"1.5";"34";"2.2064499855";"0.7010970116";"23.020000458";"2007-03-28";"10:44:00"
"91";"204";"2060";"2.5";"34";"2.2064499855";"0.637871027";"19.680000305";"2007-03-28";"10:44:00"
"92";"204";"2060";"3.5";"34";"2.7719700336";"0.797145009";"25.530000687";"2007-03-28";"10:44:00"
