idcampanha;idreservatorio;idinstituicao;nrocampanha;datainicio;datafim
301;3;2;1;2011-05-09;2011-05-12
401;4;2;1;2011-03-22;2011-03-26
402;4;2;2;2011-07-03;2011-07-05
501;5;2;1;2011-05-23;2011-12-27
801;8;2;1;2011-06-28;2011-06-30
901;9;2;1;2011-06-07;2011-06-09
